NumeroCapteur,Heure,Puissance,Adresse
2,17:27:54.853252,-79,da:54:ce:90:f8:c7
2,17:27:57.823337,-79,a6:9e:b9:c3:a9:b5
2,17:27:58.949845,-77,c2:4f:e8:fa:6f:0c
1,17:28:00.185651,-61,00:0c:e7:ef:e1:e9
2,17:28:08.714372,-75,a6:11:ab:e9:f0:2a
1,17:28:09.318590,-73,f6:c7:e5:68:9d:f4
2,17:28:10.985523,-75,44:af:28:6f:23:ae
1,17:28:11.838631,-75,a0:18:28:11:43:d6
2,17:28:12.857750,-57,3c:6a:a7:81:02:e0
1,17:28:14.041920,-57,12:5d:03:78:cd:c5
1,17:28:15.641675,-75,dc:f5:05:99:22:dd
1,17:28:19.621181,-73,84:e0:f4:d7:08:dc
1,17:28:21.276096,-75,54:35:30:51:9b:58
1,17:28:22.352176,-75,a2:98:b4:30:9f:e1
1,17:28:25.010162,-49,fa:d6:eb:df:76:b1
1,17:28:32.659133,-73,1a:e4:ad:00:99:e2
1,17:28:34.555986,-71,34:7d:f6:79:fa:f4
1,17:28:35.718325,-43,a4:50:46:54:2e:1d
1,17:28:37.694264,-75,b4:8c:9d:6b:0e:1b
4,17:33:13.925361,-71,80:86:f2:26:7b:db
4,17:33:18.168777,-79,72:e8:e7:58:96:ca
4,17:33:19.942075,-59,c2:6b:99:42:52:65
4,17:33:21.516550,-79,a6:9e:b9:c3:a9:b5
4,17:33:32.089869,-69,4a:8c:0d:22:7c:a6
4,17:33:34.343211,-75,e0:d4:64:7f:d5:78
4,17:33:37.542770,-41,34:7d:f6:79:fa:f4
4,17:33:39.036521,-77,72:e8:e7:58:96:ca
4,17:33:41.713974,-73,22:12:e0:0d:e5:96
4,17:33:44.741742,-45,5c:3a:45:c2:e2:63
4,17:33:48.178223,-77,72:e8:e7:58:96:ca
4,17:33:55.856257,-77,72:e8:e7:58:96:ca
4,17:33:58.229992,-73,4a:8c:0d:22:7c:a6
4,17:34:03.970433,-71,64:79:f0:62:f3:40
4,17:34:05.644659,-73,02:42:76:ad:04:d1
4,17:34:07.607812,-75,cc:5e:f8:88:2b:bd
4,17:34:14.217002,-73,4a:8c:0d:22:7c:a6
4,17:34:15.595333,-69,5c:61:99:58:4b:9b
4,17:34:22.047658,-77,cc:5e:f8:88:2b:bd
4,17:34:23.772322,-67,80:86:f2:26:7b:db
4,17:34:25.181062,-67,98:80:ee:cc:4e:58
4,17:34:26.615994,-69,b6:ab:b0:dc:62:10
4,17:34:28.775556,-75,da:a1:19:05:8e:15
4,17:34:30.156203,-75,72:e8:e7:58:96:ca
4,17:34:31.717540,-67,c6:6b:a1:98:21:19
4,17:34:33.380300,-73,ea:ff:91:fe:68:68
4,17:34:35.237812,-77,ae:e6:4e:fb:6d:32
4,17:34:35.886596,-65,98:80:ee:cc:4e:58
4,17:34:39.853156,-77,e0:d4:64:7f:d5:78
4,17:34:41.277316,-73,6a:9c:ad:dc:ac:f6
